Process_ID,Interval,Layer,Sv_mean,NASC,Layer_depth_min,Layer_depth_max,Ping_S,Dist_S,Date_S,Time_S,Lat_M,Lon_M,Frequency
3966,2497998,22,-98.246385,0.031296,105.000000,110.000000,608,3.237523,20170630,04:50:00.2090,81.56473483,33.45908065,200.000000
3966,2497998,23,-104.367489,0.007939,110.000000,115.000000,608,3.237523,20170630,04:50:00.2090,81.56473483,33.45908065,200.000000
3966,2497998,24,-104.099530,0.008444,115.000000,120.000000,608,3.237523,20170630,04:50:00.2090,81.56473483,33.45908065,200.000000
3966,2497998,25,-97.902684,0.035176,120.000000,125.000000,608,3.237523,20170630,04:50:00.2090,81.56473483,33.45908065,200.000000
3966,2497998,26,-98.900970,0.027952,125.000000,130.000000,608,3.237523,20170630,04:50:00.2090,81.56473483,33.45908065,200.000000
3966,2497998,27,-999.000000,0.000000,130.000000,135.000000,608,3.237523,20170630,04:50:00.2090,81.56473483,33.45908065,200.000000
3966,2497998,28,-999.000000,0.000000,135.000000,140.000000,608,3.237523,20170630,04:50:00.2090,81.56473483,33.45908065,200.000000
3966,2497998,29,-101.212867,0.016414,140.000000,145.000000,608,3.237523,20170630,04:50:00.2090,81.56473483,33.45908065,200.000000
3966,2497998,30,-999.000000,0.000000,145.000000,150.000000,608,3.237523,20170630,04:50:00.2090,81.56473483,33.45908065,200.000000
3966,2497998,31,-999.000000,0.000000,150.000000,155.000000,608,3.237523,20170630,04:50:00.2090,81.56473483,33.45908065,200.000000
3966,2497998,32,-999.000000,0.000000,155.000000,160.000000,608,3.237523,20170630,04:50:00.2090,81.56473483,33.45908065,200.000000
3966,2497998,33,-92.776408,0.114518,160.000000,165.000000,608,3.237523,20170630,04:50:00.2090,81.56473483,33.45908065,200.000000
3966,2497998,34,-999.000000,0.000000,165.000000,170.000000,608,3.237523,20170630,04:50:00.2090,81.56473483,33.45908065,200.000000
3966,2497998,35,-999.000000,0.000000,170.000000,175.000000,608,3.237523,20170630,04:50:00.2090,81.56473483,33.45908065,200.000000
3966,2497998,36,-999.000000,0.000000,175.000000,180.000000,608,3.237523,20170630,04:50:00.2090,81.56473483,33.45908065,200.000000
3966,2497998,37,-999.000000,0.000000,180.000000,185.000000,608,3.237523,20170630,04:50:00.2090,81.56473483,33.45908065,200.000000
3966,2497998,38,-90.041512,0.207001,185.000000,190.000000,608,3.237523,20170630,04:50:00.2090,81.56473483,33.45908065,200.000000
3966,2497998,39,-93.787522,0.090732,190.000000,195.000000,608,3.237523,20170630,04:50:00.2090,81.56473483,33.45908065,200.000000
3966,2497998,40,-92.431420,0.123986,195.000000,200.000000,608,3.237523,20170630,04:50:00.2090,81.56473483,33.45908065,200.000000
3966,2497998,41,-91.205213,0.164434,200.000000,205.000000,608,3.237523,20170630,04:50:00.2090,81.56473483,33.45908065,200.000000
3966,2497998,42,-90.478350,0.194392,205.000000,210.000000,608,3.237523,20170630,04:50:00.2090,81.56473483,33.45908065,200.000000
3966,2497998,43,-91.886112,0.135367,210.000000,215.000000,608,3.237523,20170630,04:50:00.2090,81.56473483,33.45908065,200.000000
3966,2497998,44,-999.000000,0.000000,215.000000,220.000000,608,3.237523,20170630,04:50:00.2090,81.56473483,33.45908065,200.000000
3966,2497998,45,-999.000000,0.000000,220.000000,225.000000,608,3.237523,20170630,04:50:00.2090,81.56473483,33.45908065,200.000000
3966,2497998,46,-999.000000,0.000000,225.000000,230.000000,608,3.237523,20170630,04:50:00.2090,81.56473483,33.45908065,200.000000
3966,2497998,47,-999.000000,0.000000,230.000000,235.000000,608,3.237523,20170630,04:50:00.2090,81.56473483,33.45908065,200.000000
3966,2497998,48,-999.000000,0.000000,235.000000,240.000000,608,3.237523,20170630,04:50:00.2090,81.56473483,33.45908065,200.000000
